count=222
index=1 | role=AXGroup | name=missing value | value=missing value | properties=
index=56 | role=AXGroup | name=missing value | value=missing value | properties=
index=57 | role=AXGroup | name=missing value | value=missing value | properties=
index=58 | role=AXGroup | name=missing value | value=missing value | properties=
index=60 | role=AXGroup | name=missing value | value=missing value | properties=
index=61 | role=AXGroup | name=missing value | value=missing value | properties=
index=63 | role=AXGroup | name=missing value | value=missing value | properties=
index=64 | role=AXGroup | name=missing value | value=missing value | properties=
index=66 | role=AXGroup | name=missing value | value=missing value | properties=
index=67 | role=AXGroup | name=missing value | value=missing value | properties=
index=69 | role=AXGroup | name=missing value | value=missing value | properties=
index=70 | role=AXGroup | name=missing value | value=missing value | properties=
index=72 | role=AXGroup | name=missing value | value=missing value | properties=
index=73 | role=AXGroup | name=missing value | value=missing value | properties=
index=76 | role=AXGroup | name=missing value | value=missing value | properties=
index=77 | role=AXGroup | name=missing value | value=missing value | properties=
index=78 | role=AXGroup | name=missing value | value=missing value | properties=
index=79 | role=AXGroup | name=missing value | value=missing value | properties=
index=81 | role=AXGroup | name=missing value | value=missing value | properties=
index=82 | role=AXGroup | name=missing value | value=missing value | properties=
index=84 | role=AXGroup | name=missing value | value=missing value | properties=
index=85 | role=AXGroup | name=missing value | value=missing value | properties=
index=87 | role=AXGroup | name=missing value | value=missing value | properties=
index=88 | role=AXGroup | name=missing value | value=missing value | properties=
index=90 | role=AXGroup | name=missing value | value=missing value | properties=
index=91 | role=AXGroup | name=missing value | value=missing value | properties=
index=93 | role=AXGroup | name=missing value | value=missing value | properties=
index=94 | role=AXGroup | name=missing value | value=missing value | properties=
index=96 | role=AXGroup | name=missing value | value=missing value | properties=
index=97 | role=AXGroup | name=missing value | value=missing value | properties=
index=99 | role=AXGroup | name=missing value | value=missing value | properties=
index=100 | role=AXGroup | name=missing value | value=missing value | properties=
index=102 | role=AXGroup | name=missing value | value=missing value | properties=
index=103 | role=AXGroup | name=missing value | value=missing value | properties=
index=105 | role=AXGroup | name=missing value | value=missing value | properties=
index=106 | role=AXGroup | name=missing value | value=missing value | properties=
index=108 | role=AXGroup | name=missing value | value=missing value | properties=
index=109 | role=AXGroup | name=missing value | value=missing value | properties=
index=111 | role=AXGroup | name=missing value | value=missing value | properties=
index=112 | role=AXGroup | name=missing value | value=missing value | properties=
index=114 | role=AXGroup | name=missing value | value=missing value | properties=
index=115 | role=AXGroup | name=missing value | value=missing value | properties=
index=117 | role=AXGroup | name=missing value | value=missing value | properties=
index=118 | role=AXGroup | name=missing value | value=missing value | properties=
index=128 | role=AXGroup | name=missing value | value=missing value | properties=
index=132 | role=AXGroup | name=missing value | value=missing value | properties=
index=133 | role=AXGroup | name=missing value | value=missing value | properties=
index=135 | role=AXStaticText | name=missing value | value=missing value | properties=
index=145 | role=AXGroup | name=missing value | value=missing value | properties=
index=146 | role=AXGroup | name=missing value | value=missing value | properties=
index=147 | role=AXStaticText | name=missing value | value=missing value | properties=
index=148 | role=AXGroup | name=missing value | value=missing value | properties=
index=149 | role=AXGroup | name=missing value | value=missing value | properties=
index=150 | role=AXStaticText | name=Looked at Terminal | value=Looked at Terminal | properties=
index=151 | role=AXStaticText | name=Looked at Terminal | value=Looked at Terminal | properties=
index=152 | role=AXGroup | name=missing value | value=missing value | properties=
index=153 | role=AXGroup | name=missing value | value=missing value | properties=
index=165 | role=AXGroup | name=missing value | value=missing value | properties=
index=166 | role=AXGroup | name=missing value | value=missing value | properties=
index=167 | role=AXStaticText | name=missing value | value=missing value | properties=
index=168 | role=AXGroup | name=missing value | value=missing value | properties=
index=169 | role=AXGroup | name=missing value | value=missing value | properties=
index=170 | role=AXStaticText | name=Looked at Terminal | value=Looked at Terminal | properties=
index=171 | role=AXStaticText | name=Looked at Terminal | value=Looked at Terminal | properties=
index=172 | role=AXGroup | name=missing value | value=missing value | properties=
index=173 | role=AXGroup | name=missing value | value=missing value | properties=
index=180 | role=AXGroup | name=missing value | value=missing value | properties=
index=181 | role=AXGroup | name=missing value | value=missing value | properties=
index=182 | role=AXStaticText | name=Looked at Terminal | value=Looked at Terminal | properties=
index=183 | role=AXGroup | name=missing value | value=missing value | properties=
index=184 | role=AXGroup | name=missing value | value=missing value | properties=
index=205 | role=AXTextArea | name=missing value | value= | properties=
index=220 | role=AXGroup | name=missing value | value=missing value | properties=
index=221 | role=AXGroup | name=missing value | value=missing value | properties=
